id,text,business,entertainment,health,all_labels
1,"Why luxury carmakers are now building glitzy skyscrapers? Bugatti is synonymous with high-performance, ultra-expensive supercars. But now the luxury French brand is entering a very different kind of race – not on the track, but in the skyline.",1,0,0,business
2,"Spain's commitment to renewable energy may be in doubt. On the edge of the sleepy town of Figueruelas, a single, vast wind turbine spins around, casting its shadow over the buildings nearby. It's a reminder of the importance of renewable electricity in this windswept area of Aragón, in north-eastern Spain, whose plains are host to many of the country's wind and solar energy farms.",1,0,0,business
3,"The Swiss city that lets you pay for most things with bitcoin. In a McDonald's by a lake surrounded by mountains, in the centre of the Swiss city of Lugano, a customer orders coffee. 'Can I pay with bitcoin?' he asks, and the person behind the counter holds out what looks like a credit card payment terminal.",1,0,0,business
4,"Greek sheep and goat cull raises fears of feta cheese shortage. Hundreds of thousands of sheep and goats are being culled in Greece, due to the outbreak of an infectious disease. It may affect production and exports of the country's famous feta cheese. Anastasia Siourtou walks through her deserted farm on the outskirts of Karditsa, a city in the Thessaly region of central Greece. An eerie silence hangs over the place where 650 sheep were being raised.",1,0,0,business
5,"Fracking has transformed an Argentine town but what about the nation? Mechanic Fabio Javier Jiménez found himself in the right place at the right time. When his father moved their family-owned tyre repair shop to the rural Argentine town of Añelo, it was a small, sleepy place, some 1,000km (600 miles) southwest of Buenos Aires. There was no mains water or gas, and the electricity supply was constantly being cut off.",1,0,0,business
6,"How my on-air 'brain fog' moment sparked a big debate? When I rather nervously shared a personal post about dealing with brain fog at work on the social network LinkedIn last week, I had no idea that it would have such an enormous impact. It's been viewed hundreds of thousands of times. Women have stopped me on the street to talk to me about it. I've been overwhelmed by hundreds of messages from people sharing support and their own experiences of it.",1,0,0,business
7,"From florist to drone maker: How the weapon became so mainstream? The ongoing conflict in Ukraine is often described as the world's 'first drone war'. It has led to a continuing huge growth in the production of military drones, both within and outside Ukraine. Before Russia's invasion of Ukraine Kseniia Kalmus was a floral artist. She co-owned a flower shop in Kyiv and travelled around Europe showcasing her floral arrangements. Now, she makes drones for use against the Russians.",1,0,0,business
8,"The indigenous weavers who aim for empowerment over exploitation. For every handwoven bag she sells on the palm-lined promenade of Riohacha, a city on Colombia's Caribbean coast, Sandra Aguilar feels that she's sharing a piece of her heritage. Once used exclusively by the Wayuu, the largest indigenous group in the South American country, the bags - known as mochilas - are now a staple across Colombia, and popular with foreign tourists.",1,0,0,business
9,"Cuba's tourism minister insists sector 'alive and kicking' amid crisis. When US President Barack Obama stepped off Air Force One onto Cuban soil in 2016, he was one of around four million visitors to the island that year. A record high at the time, Cuba's visitor numbers continued to grow until a high-water mark of almost five million people two years later. Since then, however, the fall in Cuban tourism has been precipitous.",1,0,0,business
10,"The Gulf bets big on AI as it seeks the 'new oil'. When Donald Trump touched down in the United Arab Emirates (UAE) earlier this year, he arrived not just with headlines, but with deals, ambition, and AI firepower. The US president was given a royal welcome, but the real centrepiece of the visit was the announcement of a sprawling new AI campus - a joint UAE-US initiative. Billed as the largest AI infrastructure hub outside the US, it symbolised the Gulf's boldest bid yet to plant itself at the heart of the global AI map.",1,0,0,business
11,"Czech billionaire's CSG launches record defence IPO, aiming to raise $4.4 billion. Prague-based Czechoslovak Group (CSG) will float up to a 15.2% stake in its initial public offering, it said on Tuesday, valuing the company's shares at 25 billion euros ($29 billion) in what is set to be the biggest-ever defence sector listing.",1,0,0,business
12,Volkswagen reports stronger cash flow despite Porsche woes and weak China sales.,1,0,0,business
13,AI company Eightfold sued for helping companies secretly score job seekers.,1,0,0,business
14,Lemonade to cut insurance rates for Tesla drivers in endorsement of EV maker's software technology.,1,0,0,business
15,OpenAI to test ads in ChatGPT in bid to boost revenue,1,0,0,business
16,ECB's Panetta says banks will need to issue fully digital private money.,1,0,0,business
17,"Bitcoin dips below $90,000 as AI worries dent risk appetite.",1,0,0,business
18,Coal India unit Bharat Coking Coal valued at $2.2 billion after stellar market debut,1,0,0,business
19,"L&T Technology Services cuts revenue forecast, sees mid single-digit growth in fiscal 2026",1,0,0,business
20,UK's Petrofac seeks creditors' compromise on claims to allow asset sale,1,0,0,business
21,Indian shares snap losing streak as US envoy's remarks soothe tariff woes,1,0,0,business
22,The drastic investment slump in the second half of 2025 has raised significant cross-sector credit risks for rated issuers in China: Fitch Ratings. The property downturn has pushed several cashed-strapped developers into distress. Beijing's push to spur infrastructure construction for the digital economy may lead to a mild recovery in public investment.,1,0,0,business
23,"The U.S. labor market ended 2025 on a soft note, with job creation in December less than expected, according to a report Friday from the Bureau of Labor Statistics. Nonfarm payrolls rose a seasonally adjusted 50,000 for the month, lower than the downwardly revised 56,000 in November and short of the Dow Jones estimate for 73,000. At the same time, the unemployment rate fell to 4.4%, compared with the forecast for 4.5%.",1,0,0,business
24,"As Senate Republicans debate trillions of tax breaks advanced by the House, some business owners could be blocked from part of the proposed windfall, policy experts say. If enacted as written, the House GOP's 'One Big Beautiful Bill Act' would raise the federal deduction limit for state and local taxes, known as SALT, to $40,000. That would phase out once income exceeds $500,000. The bill would also boost a tax break for pass-through businesses, known as the qualified business income, or QBI, deduction, to 23%. But the measure would end a popular state-level SALT cap workaround for certain pass-through business owners.",1,0,0,business
25,"Chris Schwegmann is getting creative with how artificial intelligence is being used in law. At Dallas-based boutique law firm Lynn Pinker Hurst & Schwegmann, he sometimes asks AI to channel Supreme Court Chief Justice John Roberts or Sherlock Holmes. Schwegmann said after uploading opposing counsel's briefs, he'll ask legal technology platform Harvey to assume the role of a legal mind like Roberts to see how the chief justice would think about a particular problem.",1,0,0,business
26,"Just across the U.S.-Canada border, some small businesses are taking tariffs personally. President Donald Trump has said his wide-sweeping tariffs, even on some of the country's closest trade partners, will rebalance international trade and bring manufacturing back stateside. But for the U.S.'s northern neighbors, tariffs may mean an erosion of trust.",1,0,0,business
27,"Amazon may be the epitome of big business, but more than 60% of the behemoth's sales last year came from small- and medium-sized businesses. Small businesses rely on Amazon for its reach and breadth, while Amazon needs independent sellers to fill its site with products. But the relationship can be uneasy. Sellers have complained about rising costs to sell on the site. The Federal Trade Commission antitrust lawsuit against Amazon, meanwhile, accusing the e-commerce giant of wielding its 'monopoly power' to raise prices, stifle competition and leave shoppers with worse service. The lawsuit also accuses Amazon of forcing sellers to pay expensive fulfillment and advertising fees, with little choice but to rely on the e-commerce giant to stay in business.",1,0,0,business
28,"The founder of a new business said while jobs may look different in the future, there is 'no reason why Guernsey would lose net jobs' to artificial intelligence (AI). The CEO of Bank Aston, Paul Gorman, has about 10 employees pre-launch and plans to use AI as part of the bank's workflow. 'You may lose existing jobs, but those statistics don't take account of the new jobs that are being created because of the advent of new technologies,' he said. In 2020, work by PricewaterhouseCoopers (PwC) in the Channel Islands estimated that about 10,800 jobs in Guernsey were at risk due to automation between then and 2035.",1,0,0,business
29,"Adverts will soon appear at the top of the AI tool ChatGPT for some users, the company OpenAI has announced. The trial will initially take place in the US, and will affect some ChatGPT users on the free service and a new subscription tier, called ChatGPT Go. This cheaper option will be available for all users worldwide, and will cost $8 a month, or the equivalent pricing in other currencies.",1,0,0,business
30,"In the 1990s some computer games had a 'boss key' that allowed staff to call up an Excel spreadsheet if they needed to look like they were working. Now bosses might frown upon a worker caught labouring over a spreadsheet. Excel, owned by Microsoft, is 40-years-old. Among some tech leaders it's seen as, at best, a blocker to smoother digital workflows and AI, at worst, an accident waiting to happen. Excel is certainly ubiquitous in the business world. According to research by Acuity Training, two-thirds of office workers use Excel at least once every hour.",1,0,0,business
31,"At the beginning of 2023, Microsoft found itself in a PR firestorm. The company was working to demonstrate its progress in artificial intelligence following a multi-billion dollar investment in OpenAI, the maker of ChatGPT. It added an AI powered chatbot into its Bing search engine, which placed it among the first legacy tech companies to fold AI into its flagship products, but almost as soon as people started using it, things went sideways.",1,0,0,business
32,"The final test was a blunt one. Maarten Logtenberg wielded a sledgehammer, which simply bounced off the sample, barely leaving a scratch. After two years of experimentation, the material was finally right: a particular mix of thermoplastics and fibreglass that is strong, has no need of extra coating to protect it from sunlight, and is resistant to fouling and marine growth. The perfect base, says Mr Logtenberg, from which to 3D print a boat. Boats need to withstand the unforgiving nature of the marine environment. It's one of the reasons why boatbuilding is a notoriously labour-intensive business.",1,0,0,business
33,"Egypt's Saving System says its technology can result in big savings on corporate electrical bills. At the heart of its product are special capacitors - devices which store electrical energy. Saving System says that, when wired up, the capacitors can make electricity use more efficient, saving the customer's money and carbon emissions. With decades of work behind the tech, Saving System's chief executive Ahmed Alwakil says that launching new tech products requires 'patience'. This is the fourth of a five-part series on technology in Africa.",1,0,0,business
34,"When Darby Hutchby was studying visual communication at university in 2017, artificial intelligence (AI) was a concept she was only beginning to hear about in its infancy. Eight years later, employers are able to turn to AI instead of hiring staff, and graphic design graduates like her said they felt they were 'competing' against the technology to get a job. Major companies are already starting to use the technology in their marketing campaigns, which is narrowing the number of vacancies and increasing clients' expectations for faster work results.",1,0,0,business
35,UK inflation rises for first time in five months - but one-off factors blamed,1,0,0,business
36,"Goldman Sachs tops profit estimates as equities, asset and wealth management outperform.",1,0,0,business
37,"Saks Global, the longtime leader of luxury department stores, files for bankruptcy protection. Saks Global, the parent company behind the 159-year-old department store that's become both a destination and a symbol for luxury fashion, filed for Chapter 11 bankruptcy protection on Wednesday after an unsustainable debt pile crushed its business.",1,0,0,business
38,"Delta CEO sees record earnings in reach again thanks to high-end travel demand. Earnings could jump more than 20% this year from 2025 thanks to robust travel demand, particularly at the high end of the market, and potentially reach a record, CEO Ed Bastian said.",1,0,0,business
39,"Trump's credit card rate cap plan has unclear path, 'devastating' risks, bank insiders say. Bank executives were sent scrambling over the weekend after President Donald Trump declared late Friday that American credit card companies would be subject to a 10% cap on the interest rate they can charge customers.",1,0,0,business
40,BNY raises profit target as CEO Robin Vince says 'turnaround' is taking hold.,1,0,0,business
41,"Global tech giants are investing billions in artificial intelligence infrastructure as the race for AI supremacy intensifies. Major companies including Microsoft, Google, and Amazon have announced significant capital expenditure plans for 2025, focusing on data centers and AI chip development. Industry analysts predict this investment wave will reshape the technology landscape over the next decade.",1,0,0,business
42,"European Central Bank raises interest rates by 0.25% in response to persistent inflation concerns across the eurozone. The decision marks the bank's continued effort to bring inflation back to its 2% target. Economists warn that higher borrowing costs could slow economic growth in several member states, particularly those with high debt levels.",1,0,0,business
43,"Tesla announces plans to build a new gigafactory in Southeast Asia, marking the company's expansion into emerging markets. The facility, expected to cost $5 billion, will produce electric vehicles specifically designed for Asian consumers. Local governments are competing to host the factory, offering substantial tax incentives and infrastructure support.",1,0,0,business
44,"Major oil companies report record profits despite global push for renewable energy transition. Shell, BP, and ExxonMobil collectively earned over $100 billion in 2024, driven by sustained high energy prices. Environmental groups criticize the profits while shareholders celebrate strong returns on investment.",1,0,0,business
